horizon,fold,gate,status,detail
all,all,past_only_market_feature_reconstruction,PASS,24 features reconstructed; max_abs_error=7.11e-15
all,all,macro_release_time_alignment,PASS,0 future-release violations in frozen audit
all,all,future_target_definition,PASS,frozen 5/20-day target recomputation audit passed
5,1,nonempty_train,PASS,
5,1,nonempty_validation,PASS,
5,1,temporal_order,PASS,
5,1,label_maturity,PASS,
5,1,validation_pre_oos,PASS,
5,1,train_pre_oos,PASS,
5,1,disjoint_indices,PASS,
5,1,fold_local_model_fit,PASS,OLS fitted only after train indices and label-maturity purge were fixed
5,2,nonempty_train,PASS,
5,2,nonempty_validation,PASS,
5,2,temporal_order,PASS,
5,2,label_maturity,PASS,
5,2,validation_pre_oos,PASS,
5,2,train_pre_oos,PASS,
5,2,disjoint_indices,PASS,
5,2,fold_local_model_fit,PASS,OLS fitted only after train indices and label-maturity purge were fixed
5,3,nonempty_train,PASS,
5,3,nonempty_validation,PASS,
5,3,temporal_order,PASS,
5,3,label_maturity,PASS,
5,3,validation_pre_oos,PASS,
5,3,train_pre_oos,PASS,
5,3,disjoint_indices,PASS,
5,3,fold_local_model_fit,PASS,OLS fitted only after train indices and label-maturity purge were fixed
5,4,nonempty_train,PASS,
5,4,nonempty_validation,PASS,
5,4,temporal_order,PASS,
5,4,label_maturity,PASS,
5,4,validation_pre_oos,PASS,
5,4,train_pre_oos,PASS,
5,4,disjoint_indices,PASS,
5,4,fold_local_model_fit,PASS,OLS fitted only after train indices and label-maturity purge were fixed
5,5,nonempty_train,PASS,
5,5,nonempty_validation,PASS,
5,5,temporal_order,PASS,
5,5,label_maturity,PASS,
5,5,validation_pre_oos,PASS,
5,5,train_pre_oos,PASS,
5,5,disjoint_indices,PASS,
5,5,fold_local_model_fit,PASS,OLS fitted only after train indices and label-maturity purge were fixed
20,1,nonempty_train,PASS,
20,1,nonempty_validation,PASS,
20,1,temporal_order,PASS,
20,1,label_maturity,PASS,
20,1,validation_pre_oos,PASS,
20,1,train_pre_oos,PASS,
20,1,disjoint_indices,PASS,
20,1,fold_local_model_fit,PASS,OLS fitted only after train indices and label-maturity purge were fixed
20,2,nonempty_train,PASS,
20,2,nonempty_validation,PASS,
20,2,temporal_order,PASS,
20,2,label_maturity,PASS,
20,2,validation_pre_oos,PASS,
20,2,train_pre_oos,PASS,
20,2,disjoint_indices,PASS,
20,2,fold_local_model_fit,PASS,OLS fitted only after train indices and label-maturity purge were fixed
20,3,nonempty_train,PASS,
20,3,nonempty_validation,PASS,
20,3,temporal_order,PASS,
20,3,label_maturity,PASS,
20,3,validation_pre_oos,PASS,
20,3,train_pre_oos,PASS,
20,3,disjoint_indices,PASS,
20,3,fold_local_model_fit,PASS,OLS fitted only after train indices and label-maturity purge were fixed
20,4,nonempty_train,PASS,
20,4,nonempty_validation,PASS,
20,4,temporal_order,PASS,
20,4,label_maturity,PASS,
20,4,validation_pre_oos,PASS,
20,4,train_pre_oos,PASS,
20,4,disjoint_indices,PASS,
20,4,fold_local_model_fit,PASS,OLS fitted only after train indices and label-maturity purge were fixed
20,5,nonempty_train,PASS,
20,5,nonempty_validation,PASS,
20,5,temporal_order,PASS,
20,5,label_maturity,PASS,
20,5,validation_pre_oos,PASS,
20,5,train_pre_oos,PASS,
20,5,disjoint_indices,PASS,
20,5,fold_local_model_fit,PASS,OLS fitted only after train indices and label-maturity purge were fixed
